
Index,Quantity,Part Number,Manufacturer Part Number,Description,Unit Price,Extended Price,Package,Mounting Type,Supplier Link
19,2,USB-C Connector,2171790001,Molex 2171790001,USB Type-C Receptacle 16pos,$0.85,$1.70,Through-Hole/SMD,Hybrid,https://www.digikey.com/en/products/detail/molex/2171790001/14629860
20,4,JST-PH Connector,S2B-PH-SM4-TB,JST S2B-PH-SM4-TB,2.0mm Pitch Header SMD,$0.60,$2.40,SMD,Surface Mount,https://www.digikey.com/en/products/detail/jst-sales-america/S2B-PH-SM4-TB/166886
21,10,2.54mm Header,61201021621,Wurth Elektronik 61201021621,Pin Header 1x20 2.54mm,$0.28,$2.80,Through-Hole,Through Hole,https://www.digikey.com/en/products/detail/w-rth-elektronik/61201021621/4846781
22,5,2.54mm Header,61300811121,Wurth Elektronik 61300811121,Pin Header 1x8 2.54mm,$0.14,$0.70,Through-Hole,Through Hole,https://www.digikey.com/en/products/detail/w-rth-elektronik/61300811121/4846914
23,4,8MHz Crystal,ABM3B-8.000MHz-D2Y-T,Abracon ABM3B-8.000MHz-D2Y-T,8MHz 20ppm Ceramic SMD,$0.95,$3.80,SMD HC49/SM,Surface Mount,https://www.digikey.com/en/products/detail/abracon/ABM3B-8.000MHZ-D2Y-T/16043883
24,4,32.768kHz Crystal,ABS07-32.768KHZ-9-T,Abracon ABS07,32.768kHz Crystal FC-135 SMD,$0.45,$1.80,FC-135,Surface Mount,https://www.digikey.com/en/products/detail/abracon/ABS07-32.768KHZ-9-T/1066254
25,2,Green LED,150080GS75000,Wurth Elektronik 150080GS75000,Green LED 0805 570nm,$0.15,$0.30,0805,Surface Mount,https://www.digikey.com/en/products/detail/w-rth-elektronik/150080GS75000/16419925
26,4,Schottky Diode,BAT54WS-7-F,Diodes Inc BAT54WS-7-F,Schottky Barrier Diode SOD-323,$0.08,$0.32,SOD-323,Surface Mount,https://www.digikey.com/en/products/detail/diodes-incorporated/BAT54WS-7-F/3500301
27,2,DPDT Switch,JS202011CQN,C&K JS202011CQN,DPDT Slide Switch 6POS,$1.20,$2.40,SMD,Surface Mount,https://www.digikey.com/en/products/detail/c-k/JS202011CQN/2689864
28,2,Tactile Switch,TL3305AF260QG,E-Switch TL3305AF260QG,Tactile Switch 12V 50mA,$0.25,$0.50,SMD,Surface Mount,https://www.digikey.com/en/products/detail/e-switch/TL3305AF260QG/11109463
,,,,SUBTOTAL,,$143.04,,,
,,,,SHIPPING ESTIMATE,,$15.00,Singapore Warehouse,,
,,,,TOTAL ESTIMATE,,$158.04,,,
